0,74.64
120,57.599999999999994
240,59.519999999999996
360,72.24
480,52.08
600,67.92
720,72.48
840,58.8
960,78.24000000000001
1080,57.120000000000005
1200,67.44000000000001
1320,62.64
1440,65.52000000000001
1560,79.2
1680,61.2
1800,82.56
1920,63.84
2040,67.68
2160,83.04
2280,56.88
2400,72.48
2520,63.36
2640,79.68
2760,30.240000000000002
2880,76.08
3000,79.68
3120,75.6
3240,72.72
3360,34.56
3480,72.48
3600,75.6
3720,74.16
3840,68.64000000000001
3960,60.72
4080,76.08
4200,66.72
4320,75.36
4440,76.08
4560,74.64
4680,70.8
4800,69.6
4920,62.88
5040,70.56
