0,65.52000000000001
120,64.80000000000001
240,72.96
360,62.64
480,70.32
600,61.2
720,67.44000000000001
840,67.2
960,60.72
1080,76.08
1200,70.32
1320,67.92
1440,64.32000000000001
1560,38.160000000000004
1680,72.24
1800,67.92
1920,69.12
2040,76.8
2160,72.0
2280,30.240000000000002
2400,69.83999999999999
2520,69.12
2640,76.32000000000001
2760,63.6
2880,73.92
3000,70.32
3120,64.08
3240,69.6
3360,75.12
3480,68.16000000000001
3600,83.04
3720,65.04
3840,68.4
3960,73.2
4080,64.80000000000001
4200,67.2
4320,72.24
4440,68.64000000000001
4560,80.4
4680,63.36
4800,75.12
4920,72.24
5040,66.96000000000001
5160,67.92
5280,67.2
5400,71.52
5520,78.0
