0,68.88000000000001
120,74.88
240,68.4
360,76.56
480,72.72
600,76.8
720,76.8
840,70.56
960,79.68
1080,56.64
1200,63.6
1320,81.12
1440,66.48
1560,70.08
1680,74.64
1800,66.24000000000001
1920,72.96
2040,85.19999999999999
2160,69.83999999999999
2280,82.32000000000001
2400,71.75999999999999
2520,76.56
2640,53.76
2760,69.12
2880,71.52
3000,87.36
3120,65.04
3240,67.44000000000001
3360,61.44
3480,79.92
3600,70.08
3720,74.4
3840,97.68
3960,66.0
4080,67.2
4200,78.24000000000001
4320,72.96
4440,68.16000000000001
4560,65.28
4680,82.32000000000001
4800,77.76
4920,80.16000000000001
5040,67.92
5160,75.12
5280,76.8
5400,73.44
